License,PortType,TotalPayed,StationID,PortNumber,InQueue
25497284,SLOW,36.95,0,0,0
22112748,SLOW,147.73,0,0,0
66778899,FAST,100.00,518,4,0
29587102,FAST,70.06,518,0,1
55667788,MID,33.70,518,1,0
25529962,FAST,115.60,101,0,1
23456789,SLOW,40.00,101,3,0
22502659,MID,43.82,0,0,0
99887766,MID,75.90,623,1,0
11223344,FAST,90.80,412,1,0
26538849,MID,35.99,0,0,0
27187646,MID,133.23,0,0,0
26054912,SLOW,30.60,0,0,0
25045665,FAST,95.43,518,0,1
28173908,FAST,93.45,412,0,1
87654321,MID,87.20,101,2,0
29145178,MID,93.95,0,0,0
29450109,SLOW,74.09,0,0,0
20053042,SLOW,17.11,0,0,0
26423659,FAST,13.87,101,0,1
22526350,MID,77.45,0,0,0
21339412,MID,111.26,0,0,0
24799602,FAST,88.39,101,0,1
26920954,MID,142.62,0,0,0
29165333,MID,90.41,101,0,1
34567890,MID,63.30,101,4,0
12345678,FAST,125.50,101,1,0
27205295,MID,42.74,101,0,1
21794617,MID,19.38,0,0,0
23321957,SLOW,80.79,0,0,0
